name,position
Tony Parker,PG
Tim Duncan,C
Matt Bonner,PF
Marco Belinelli,SG
Manu Ginobili,SG
Danny Green,SG
Cory Joseph,PG
Boris Diaw,PF
Aron Baynes,C
Kawhi Leonard,SF
Jeff Ayres,C
Tiago Splitter,C
Patrick Mills,PG
Reggie Williams,SG
Austin Daye,SF
Kyle Anderson,SG
Troy Daniels,SG
Thaddeus Young,PF
Nikola Pekovic,C
Mo Williams,PG
Gorgui Dieng,C
Chase Budinger,SF
Anthony Bennett,SF
Andrew Wiggins,SF
Zach LaVine,PG
Robbie Hummel,SF
Glenn Robinson,SF
Ricky Rubio,PG
Kevin Martin,SG
Lorenzo Brown,SG
Michael Kidd-Gilchrist,SF
Marvin Williams,SF
Lance Stephenson,SG
Jason Maxiell,C
Gerald Henderson,SG
Cody Zeller,PF
Brian Roberts,PG
Al Jefferson,C
Jeffery Taylor,SF
Trevor Ariza,SF
Tarik Black,PF
Patrick Beverley,PG
Kostas Papanikolaou,SF
Jason Terry,SG
James Harden,SG
Isaiah Canaan,SG
Donatas Motiejunas,PF
Joey Dorsey,PF
Francisco Garcia,SG
Terrence Jones,PF
Corey Brewer,SF
Josh Smith,PF
Dwight Howard,C
Pablo Prigioni,PG
Nick Johnson,SG
Clint Capela,C
Wesley Johnson,SF
Jordan Hill,C
Jordan Clarkson,PG
Jeremy Lin,PG
Ed Davis,PF
Carlos Boozer,PF
Wayne Ellington,SG
Ryan Kelly,PF
Robert Sacre,C
Jabari Brown,SG
Dwight Buycks,PG
Jameer Nelson,PG
Jae Crowder,SF
Brandan Wright,PF
Tyler Zeller,C
Marcus Smart,PG
Kelly Olynyk,C
Jeff Green,PF
Jared Sullinger,PF
Evan Turner,PG
Brandon Bass,PF
Avery Bradley,SG
Phil Pressey,PG
Wilson Chandler,SF
Ty Lawson,PG
Kenneth Faried,PF
Jusuf Nurkic,PF
Darrell Arthur,PF
Arron Afflalo,SG
Alonzo Gee,SF
Erick Green,PG
J.J. Hickson,PF
Markieff Morris,PF
Marcus Morris,PF
Eric Bledsoe,PG
Archie Goodwin,SG
Alex Len,C
P.J. Tucker,SF
A.J. Price,PG
T.J. Warren,SF
Gerald Green,SG
Willie Green,SG
Tobias Harris,SF
Nikola Vucevic,C
Evan Fournier,SG
Elfrid Payton,PG
