teamName      ,teamID,team_id   
Atlanta       ,404085,1610612737
Boston        ,404169,1610612738
Brooklyn      ,404117,1610612751
Charlotte     ,664421,1610612766
Chicago       ,404198,1610612741
Cleveland     ,404213,1610612739
Dallas        ,404047,1610612742
Denver        ,404065,1610612743
Detroit       ,404153,1610612765
Golden State  ,404119,1610612744
Houston       ,404137,1610612745
Indiana       ,404155,1610612754
L.A. Clippers ,404135,1610612746
L.A. Lakers   ,403977,1610612747
Memphis       ,404049,1610612763
Miami         ,404171,1610612748
Milwaukee     ,404011,1610612749
Minnesota     ,403995,1610612750
New Orleans   ,404101,1610612740
New York      ,404288,1610612752
Oklahoma City ,404316,1610612760
Orlando       ,404013,1610612753
Philadelphia  ,404083,1610612755
Phoenix       ,404029,1610612756
Portland      ,403993,1610612757
Sacramento    ,403975,1610612758
San Antonio   ,404302,1610612759
Toronto       ,404330,1610612761
Utah          ,404031,1610612762
Washington    ,404067,1610612764
